"/home/drh/Music/Train - When I Look to the Sky.mp3","Train","My Private Nation","When I Look to the Sky"
"/home/drh/Music/Richard Stoltzman - Maid with the Flaxen Hair.mp3","Richard Stoltzman/Slovak Radio Symphony Orchestra","Fine Music, Vol. 1","Maid with the Flaxen Hair"
"/home/drh/Music/Kings Of Leon - Cold Desert.mp3","Kings Of Leon","Only By The Night","Cold Desert"
"/home/drh/Music/Suzanne Vega - Last Year's Troubles.mp3","Suzanne Vega","Songs in Red and Gray","Last Year's Troubles"
"/home/drh/Music/Mark Chesnutt - Blame It On Texas.mp3","Mark Chesnutt","Greatest Hits","Blame It On Texas"
"/home/drh/Music/Orleans - Half Moon.mp3","Orleans","Dance with Me: The Best of Orleans","Half Moon"
"/home/drh/Music/Engelbert Humperdink - Quando Quando Quando.mp3","Engelbert Humperdinck","Engelbert Humperdinck: 50","Quando Quando Quando"
"/home/drh/Music/Sheena Easton - Strut.mp3","Sheena Easton","The Ultimate Party Album","Strut"
"/home/drh/Music/Lady Antebellum - Things People Say.mp3","Lady Antebellum","Lady Antebellum","Things People Say"
"/home/drh/Music/Johnny Cash - Daddy Sang Bass.mp3","Johnny Cash","The Essential Johnny Cash Disc 2","Daddy Sang Bass"
"/home/drh/Music/Dixie Chicks - Cowboy Take Me Away.mp3","Dixie Chicks","Playlist: The Very Best of Dixie Chicks","Cowboy Take Me Away"
"/home/drh/Music/Tori Amos - Winter.mp3","Tori Amos","Little Earthquakes","Winter"
"/home/drh/Music/Fleetwood Mac - Warm Ways.mp3","Fleetwood Mac","Fleetwood Mac","Warm Ways"
"/home/drh/Music/Squeeze - Tempted by the Fruit of Another.mp3","Squeeze","East Side Story","Tempted by the Fruit of Another"
"/home/drh/Music/Christopher Cross - Sailing.mp3","Christopher Cross","Yesterdays","Sailing"
"/home/drh/Music/Heart - Straight On.mp3","Heart","Dog & Butterfly","Straight On"
"/home/drh/Music/New Seekers - I'd Like to Teach the World to Sing (In Perfect Harmony).mp3","New Seekers","Super Hits of the '70s: Have a Nice Day, Vol. 16","I'd Like to Teach the World to Sing (In Perfect Harmony)"
"/home/drh/Music/Thomas Dolby - She Blinded Me With Science .mp3","Thomas Dolby","'80s Retro","She Blinded Me With Science"
"/home/drh/Music/Delaney & Bonnie & Friends - Never Ending Song of Love.mp3","Delaney & Bonnie & Friends","Super Hits of the '70s: Have a Nice Day, Vol. 16","Never Ending Song of Love"
"/home/drh/Music/Tim McGraw - Everywhere.mp3","Tim McGraw","Greatest Hits, Vol. 2","Everywhere"
"/home/drh/Music/Supertramp - Two of Us.mp3","Supertramp","Retrospectacle","Two of Us"
"/home/drh/Music/Faith Hill - Butterfly Kisses.mp3","Faith Hill","Butterfly Kisses","Butterfly Kisses / Daddy's Little Girl"
"/home/drh/Music/Barry Manilow - Why Don't We Live Together.mp3","Barry Manilow","Tryin' To Get The Feeling","Why Don't We Live Together"
"/home/drh/Music/Pete McCann - Do You Wanna Make Love.mp3","Pete McCann","Super Hits of the '70s: Have a Nice Day, Vol. 20","Do You Wanna Make Love"
